,make,model,year,owner,transmission,fuel,engine,max_power,seats,km_driven,seller_type,price_category
21,Honda,WR-V,2017,First Owner,Manual,Diesel,1498 CC,98.6 bhp,5.0,50000,Individual,Medium
22,Maruti,Swift,2015,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,40000,Individual,Medium
23,Maruti,SX4,2012,First Owner,Manual,Diesel,1248 CC,88.8 bhp,5.0,72000,Individual,Medium
24,Tata,Tigor,2018,First Owner,Manual,Petrol,1199 CC,83.81 bhp,5.0,35000,Individual,Medium
25,Maruti,Baleno,2016,First Owner,Manual,Petrol,1197 CC,83.1 bhp,5.0,45000,Individual,Medium
26,Maruti,Alto,2017,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,28000,Individual,Medium
27,Chevrolet,Enjoy,2013,First Owner,Manual,Diesel,1248 CC,73.8 bhp,7.0,70000,Individual,Medium
28,Maruti,Wagon,2009,First Owner,Manual,Petrol,1061 CC,67 bhp,5.0,120000,Individual,Low
29,Maruti,Omni,2018,First Owner,Manual,Petrol,796 CC,34.2 bhp,8.0,25000,Individual,Low
30,Maruti,Vitara,2017,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,70000,Individual,Medium
31,Fiat,Palio,2003,Second Owner,Manual,Petrol,,,,50000,Individual,Low
32,Maruti,Omni,2012,Second Owner,Manual,Petrol,796 CC,35 bhp,5.0,35000,Individual,Low
33,Hyundai,i20,2018,First Owner,Manual,Petrol,1197 CC,81.83 bhp,5.0,2388,Individual,Medium
34,Maruti,Vitara,2017,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,16200,Individual,Medium
35,Maruti,Alto,2019,Second Owner,Manual,CNG,796 CC,40.3 bhp,4.0,10000,Individual,Medium
36,Maruti,Alto,2019,First Owner,Manual,Petrol,998 CC,67.1 bhp,5.0,15000,Individual,Medium
37,Hyundai,Verna,2019,First Owner,Manual,Petrol,1591 CC,121.3 bhp,5.0,5000,Individual,High
38,Datsun,GO,2016,First Owner,Manual,Petrol,1198 CC,67 bhp,5.0,42000,Individual,Low
39,Tata,Safari,2011,Second Owner,Manual,Diesel,2179 CC,138.03 bhp,7.0,60000,Individual,Medium
40,Maruti,800,2012,First Owner,Manual,Petrol,796 CC,37 bhp,4.0,76000,Individual,Low
41,Jeep,Compass,2019,First Owner,Automatic,Petrol,1368 CC,160.77 bhp,5.0,5000,Individual,High
42,Honda,City,2018,First Owner,Manual,Petrol,1497 CC,117.3 bhp,5.0,28900,Dealer,Medium
43,Honda,City,2013,First Owner,Manual,Petrol,1497 CC,116.3 bhp,5.0,86300,Dealer,Medium
44,Maruti,Swift,2018,First Owner,Automatic,Petrol,1197 CC,83.14 bhp,5.0,23300,Dealer,Medium
45,Maruti,Vitara,2018,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,32600,Dealer,Medium
46,Maruti,Alto,2018,First Owner,Manual,Petrol,998 CC,67.05 bhp,5.0,10300,Dealer,Medium
47,Toyota,Fortuner,2014,First Owner,Manual,Diesel,2982 CC,168.5 bhp,7.0,77000,Dealer,High
48,Toyota,Innova,2013,First Owner,Manual,Diesel,2494 CC,100 bhp,7.0,99000,Dealer,Medium
49,Mercedes-Benz,B,2014,Second Owner,Automatic,Diesel,2143 CC,120.7 bhp,5.0,27800,Dealer,High
50,Honda,Amaze,2015,First Owner,Manual,Diesel,1498 CC,98.63 bhp,5.0,49800,Dealer,Medium
51,Mitsubishi,Pajero,2013,First Owner,Manual,Diesel,2477 CC,175.56 bhp,7.0,151000,Dealer,High
52,Honda,City,2015,First Owner,Manual,Diesel,1498 CC,98.6 bhp,5.0,54700,Dealer,Medium
53,Maruti,Ciaz,2018,First Owner,Manual,Petrol,1462 CC,103.25 bhp,5.0,64000,Dealer,Medium
54,Honda,Jazz,2015,First Owner,Manual,Diesel,1498 CC,98.6 bhp,5.0,63000,Dealer,Medium
55,Toyota,Innova,2016,Second Owner,Automatic,Diesel,2755 CC,171.5 bhp,7.0,127700,Dealer,High
56,Toyota,Innova,2016,First Owner,Manual,Diesel,2494 CC,100.6 bhp,7.0,99000,Dealer,Medium
57,Audi,A6,2013,Second Owner,Automatic,Diesel,1968 CC,174.33 bhp,5.0,33900,Dealer,High
58,Toyota,Corolla,2018,First Owner,Automatic,Petrol,1798 CC,138.03 bhp,5.0,25000,Dealer,High
59,Audi,A6,2013,First Owner,Automatic,Diesel,1968 CC,187.74 bhp,5.0,50000,Dealer,High
60,Mercedes-Benz,New,2013,First Owner,Automatic,Diesel,2143 CC,170 bhp,5.0,59000,Dealer,High
61,Tata,Manza,2011,First Owner,Manual,Diesel,1248 CC,88.8 bhp,5.0,120000,Individual,Low
62,Hyundai,i10,2011,Third Owner,Manual,Petrol,1197 CC,78.9 bhp,5.0,110000,Individual,Low
63,Hyundai,i20,2013,First Owner,Manual,Diesel,1396 CC,88.76 bhp,5.0,60000,Individual,Medium
64,Maruti,Swift,2015,Second Owner,Manual,Diesel,1248 CC,74 bhp,5.0,147000,Individual,Medium
65,Ford,Figo,2017,Third Owner,Manual,Petrol,1196 CC,86.8 bhp,5.0,25000,Individual,Medium
66,Maruti,Baleno,2019,First Owner,Manual,Petrol,1197 CC,83.1 bhp,5.0,30000,Individual,Medium
67,Volkswagen,Ameo,2016,First Owner,Manual,Diesel,1498 CC,108.495 bhp,5.0,40000,Individual,Medium
68,Honda,City,2015,First Owner,Manual,Diesel,1498 CC,98.6 bhp,5.0,135000,Individual,Medium
69,Maruti,Wagon,2018,First Owner,Automatic,Petrol,998 CC,67 bhp,5.0,30000,Individual,Medium
70,Volkswagen,Ameo,2017,First Owner,Manual,Diesel,1498 CC,108.62 bhp,5.0,80000,Individual,Medium
71,Maruti,Vitara,2016,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,70000,Individual,Medium
72,Maruti,Vitara,2019,First Owner,Automatic,Diesel,1248 CC,88.5 bhp,5.0,9850,Individual,High
73,Hyundai,i10,2011,Second Owner,Manual,Petrol,1197 CC,78.9 bhp,5.0,60000,Individual,Low
74,Maruti,Swift,2016,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,70000,Individual,Medium
75,Toyota,Fortuner,2015,Second Owner,Manual,Diesel,2982 CC,168.5 bhp,7.0,78000,Individual,High
76,Maruti,Swift,2013,Second Owner,Manual,Diesel,1248 CC,74 bhp,5.0,120000,Individual,Medium
77,Maruti,Ertiga,2012,Second Owner,Manual,Petrol,1373 CC,93.7 bhp,7.0,120000,Individual,Medium
78,Tata,Indica,2003,First Owner,Manual,Diesel,,,,70000,Individual,Low
79,Volkswagen,Vento,2013,First Owner,Manual,Diesel,1598 CC,103.6 bhp,5.0,170000,Individual,Medium
80,Toyota,Innova,2016,First Owner,Manual,Diesel,2494 CC,100.6 bhp,8.0,140000,Individual,High
81,Ford,EcoSport,2015,First Owner,Manual,Diesel,1498 CC,98.59 bhp,5.0,90000,Individual,Medium
82,BMW,X1,2016,Second Owner,Automatic,Petrol,1998 CC,189 bhp,5.0,30000,Individual,High
83,Maruti,Celerio,2017,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,10000,Dealer,Medium
84,Datsun,GO,2016,First Owner,Manual,Petrol,1198 CC,67.05 bhp,5.0,49000,Dealer,Medium
85,Maruti,Alto,2016,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,32000,Dealer,Medium
86,Maruti,Alto,2016,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,38000,Dealer,Medium
87,Maruti,Swift,2015,First Owner,Manual,Diesel,,,,78000,Dealer,Medium
88,Hyundai,i10,2012,First Owner,Manual,Petrol,1086 CC,68.05 bhp,5.0,28000,Dealer,Medium
89,Maruti,Omni,2017,First Owner,Manual,Petrol,796 CC,35 bhp,5.0,32000,Dealer,Medium
90,Maruti,Wagon,2010,First Owner,Manual,LPG,998 CC,58.2 bhp,5.0,44000,Dealer,Low
91,Volkswagen,Polo,2015,First Owner,Manual,Petrol,1198 CC,74 bhp,5.0,42000,Dealer,Medium
92,Hyundai,i10,2015,Second Owner,Manual,Petrol,1086 CC,68.05 bhp,5.0,45000,Dealer,Medium
93,Volkswagen,Vento,2012,Second Owner,Manual,Petrol,1598 CC,103.6 bhp,5.0,12000,Dealer,Medium
94,Maruti,Zen,2009,First Owner,Manual,Petrol,998 CC,67.1 bhp,5.0,55500,Dealer,Low
95,Hyundai,i20,2013,First Owner,Manual,Petrol,1197 CC,82.85 bhp,5.0,61500,Dealer,Medium
96,Maruti,Swift,2016,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,150000,Individual,Medium
97,Hyundai,Xcent,2016,First Owner,Automatic,Petrol,1197 CC,82 bhp,5.0,72000,Dealer,Medium
98,Maruti,Alto,2008,Third Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,68000,Dealer,Low
99,Hyundai,i20,2017,First Owner,Manual,Diesel,1396 CC,88.73 bhp,5.0,110000,Individual,Medium
100,Maruti,Wagon,2009,Second Owner,Manual,Petrol,998 CC,67.05 bhp,5.0,77000,Dealer,Low
101,Tata,Manza,2010,Second Owner,Manual,Diesel,1248 CC,90 bhp,5.0,100000,Individual,Low
102,Maruti,Swift,2019,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,10000,Individual,Medium
103,Maruti,Eeco,2016,Third Owner,Manual,Petrol,1196 CC,73 bhp,7.0,100000,Individual,Low
104,Maruti,Baleno,2018,First Owner,Manual,Petrol,1197 CC,83.1 bhp,5.0,35000,Individual,Medium
105,Mahindra,Scorpio,2014,Second Owner,Automatic,Diesel,2179 CC,120 bhp,8.0,70000,Individual,Medium
106,Ford,Freestyle,2020,Second Owner,Manual,Petrol,1194 CC,94.68 bhp,5.0,5000,Individual,Medium
107,Hyundai,Verna,2017,First Owner,Manual,Petrol,1591 CC,121.3 bhp,5.0,37800,Individual,Medium
108,Volkswagen,Passat,2010,First Owner,Manual,Petrol,1798 CC,160 bhp,5.0,114000,Individual,Medium
109,Tata,Indica,2010,First Owner,Manual,Petrol,1172 CC,65 bhp,5.0,48000,Individual,Medium
110,Mahindra,XUV500,2019,First Owner,Manual,Diesel,2179 CC,155 bhp,7.0,32000,Individual,High
111,Tata,Indigo,2016,First Owner,Manual,Diesel,1405 CC,69.01 bhp,5.0,100000,Individual,Medium
112,Hyundai,Verna,2013,Second Owner,Manual,Diesel,1582 CC,126.32 bhp,5.0,150000,Individual,Medium
113,Hyundai,i20,2013,First Owner,Manual,Diesel,1396 CC,88.76 bhp,5.0,69000,Individual,Medium
114,Toyota,Corolla,2009,Second Owner,Manual,Petrol,1798 CC,138.1 bhp,5.0,100000,Individual,Medium
115,Maruti,Celerio,2020,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,13000,Individual,Medium
116,Maruti,Vitara,2016,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,60000,Individual,Medium
117,Maruti,Swift,2017,First Owner,Manual,Petrol,1197 CC,83.14 bhp,5.0,40000,Individual,Medium
118,Maruti,Wagon,2017,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,35000,Individual,Medium
119,Maruti,Swift,2010,Second Owner,Manual,Diesel,,,,120000,Individual,Medium
120,Nissan,Terrano,2014,Third Owner,Manual,Diesel,1461 CC,83.8 bhp,5.0,70000,Individual,Medium
121,Hyundai,Creta,2016,First Owner,Manual,Diesel,1582 CC,126.2 bhp,5.0,50000,Individual,High
122,Ford,EcoSport,2017,First Owner,Manual,Diesel,1498 CC,98.96 bhp,5.0,76139,Individual,Medium
123,Maruti,Swift,2012,Fourth & Above Owner,Manual,Diesel,1248 CC,73.9 bhp,5.0,175000,Individual,Medium
124,Renault,KWID,2018,First Owner,Manual,Petrol,999 CC,67 bhp,5.0,25000,Individual,Medium
125,Maruti,Celerio,2015,Second Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,40000,Individual,Medium
126,Maruti,Alto,2008,Fourth & Above Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,65000,Individual,Low
127,Maruti,Ertiga,2013,Second Owner,Manual,Diesel,1248 CC,88.76 bhp,7.0,90000,Individual,Medium
128,Hyundai,Santro,2009,Second Owner,Manual,Petrol,1086 CC,62.1 bhp,5.0,80000,Individual,Low
129,Maruti,Ertiga,2015,Second Owner,Manual,Diesel,1248 CC,88.76 bhp,7.0,110000,Individual,Medium
130,Honda,Amaze,2019,First Owner,Manual,Petrol,1198 CC,86.7 bhp,5.0,1303,Dealer,Medium
131,Audi,Q5,2018,First Owner,Automatic,Diesel,1968 CC,188 bhp,5.0,31800,Dealer,High
132,Lexus,ES,2019,First Owner,Automatic,Petrol,2487 CC,214.56 bhp,5.0,20000,Dealer,High
133,Jaguar,XF,2017,First Owner,Automatic,Diesel,1999 CC,177 bhp,5.0,45000,Dealer,High
134,Jeep,Wrangler,2017,First Owner,Automatic,Petrol,3604 CC,280 bhp,5.0,17000,Individual,High
135,Land,Rover,2019,First Owner,Automatic,Diesel,1999 CC,148.31 bhp,7.0,21000,Dealer,High
136,Mercedes-Benz,S-Class,2017,First Owner,Automatic,Diesel,2987 CC,254.79 bhp,5.0,37000,Dealer,High
137,BMW,5,2018,First Owner,Automatic,Diesel,1995 CC,187.74 bhp,5.0,29500,Dealer,High
138,BMW,X1,2017,First Owner,Automatic,Diesel,,,,27000,Dealer,High
139,BMW,X4,2019,First Owner,Automatic,Diesel,1995 CC,190 bhp,5.0,7500,Dealer,High
140,Skoda,Superb,2018,First Owner,Automatic,Petrol,1798 CC,177.46 bhp,5.0,50000,Dealer,High
141,Mercedes-Benz,E-Class,2016,First Owner,Automatic,Diesel,2143 CC,204 bhp,5.0,35000,Dealer,High
142,MG,Hector,2019,First Owner,Automatic,Petrol,1451 CC,141 bhp,5.0,19000,Dealer,High
143,Honda,City,2017,First Owner,Automatic,Petrol,1497 CC,117.6 bhp,5.0,41000,Dealer,Medium
144,Toyota,Corolla,2013,First Owner,Automatic,Petrol,1798 CC,138.03 bhp,5.0,39000,Dealer,Medium
145,Volvo,XC40,2018,First Owner,Automatic,Diesel,1969 CC,190 bhp,5.0,22000,Dealer,High
146,Audi,Q7,2015,First Owner,Automatic,Diesel,2967 CC,241.4 bhp,7.0,53000,Dealer,High
147,Maruti,Ciaz,2015,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,40000,Dealer,Medium
148,Mercedes-Benz,S-Class,2017,First Owner,Automatic,Diesel,2987 CC,282 bhp,5.0,47000,Dealer,High
149,BMW,5,2010,Second Owner,Automatic,Petrol,2497 CC,150 bhp,5.0,72200,Dealer,Medium
150,Hyundai,Elantra,2016,First Owner,Manual,Petrol,1797 CC,147.5 bhp,5.0,49900,Dealer,Medium
151,Jaguar,XE,2017,First Owner,Automatic,Diesel,1999 CC,177 bhp,5.0,9000,Dealer,High
152,Tata,Nexon,2018,First Owner,Manual,Petrol,1198 CC,108.5 bhp,5.0,11000,Dealer,Medium
153,Volkswagen,Vento,2011,First Owner,Manual,Petrol,1598 CC,103.6 bhp,5.0,49000,Individual,Medium
154,Hyundai,Elantra,2012,First Owner,Manual,Petrol,1797 CC,147.5 bhp,5.0,95000,Individual,Medium
155,Skoda,Rapid,2016,First Owner,Automatic,Petrol,1598 CC,103.5 bhp,5.0,11000,Dealer,Medium
156,Mercedes-Benz,CLA,2018,First Owner,Automatic,Petrol,1991 CC,183 bhp,5.0,18000,Dealer,High
157,Maruti,Ertiga,2014,First Owner,Manual,Petrol,1373 CC,93.7 bhp,7.0,46100,Dealer,Medium
158,Mercedes-Benz,New,2017,First Owner,Automatic,Petrol,1991 CC,181.04 bhp,5.0,16000,Dealer,High
159,Honda,City,2017,First Owner,Automatic,Petrol,1497 CC,116.3 bhp,5.0,18000,Dealer,Medium
160,Toyota,Glanza,2019,First Owner,Automatic,Petrol,1197 CC,81.80 bhp,5.0,9654,Dealer,Medium
161,Maruti,Alto,2011,First Owner,Manual,Petrol,998 CC,67.05 bhp,5.0,11000,Dealer,Low
162,Maruti,Swift,2012,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,24300,Dealer,Medium
163,Toyota,Innova,2016,Second Owner,Automatic,Diesel,2755 CC,171.5 bhp,7.0,42163,Dealer,High
164,Tata,Nexon,2018,First Owner,Automatic,Diesel,1497 CC,108.5 bhp,5.0,8000,Dealer,High
165,BMW,3,2016,First Owner,Automatic,Diesel,1995 CC,190 bhp,5.0,30000,Dealer,High
166,Toyota,Camry,2016,First Owner,Automatic,Petrol,2494 CC,157.7 bhp,5.0,41000,Dealer,High
167,BMW,5,2016,First Owner,Automatic,Diesel,1995 CC,190 bhp,5.0,12000,Dealer,High
168,Toyota,Camry,2009,First Owner,Automatic,Petrol,2362 CC,164.7 bhp,5.0,71000,Dealer,Medium
169,Maruti,Ertiga,2016,First Owner,Manual,Petrol,1373 CC,91.1 bhp,7.0,20000,Individual,Medium
170,Volvo,XC90,2017,First Owner,Automatic,Petrol,1969 CC,400 bhp,4.0,30000,Individual,High
171,Volkswagen,Vento,2011,Second Owner,Manual,Diesel,1598 CC,103.6 bhp,5.0,100000,Individual,Medium
172,Ford,Figo,2018,First Owner,Manual,Petrol,1196 CC,86.8 bhp,5.0,9500,Individual,Medium
173,Ford,Figo,2011,First Owner,Manual,Diesel,1399 CC,68 bhp,5.0,120000,Individual,Low
174,Maruti,Swift,2015,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,36600,Individual,Medium
175,Maruti,Wagon,2015,Second Owner,Automatic,Petrol,998 CC,67 bhp,5.0,50000,Individual,Medium
176,Hyundai,i20,2016,Second Owner,Manual,Petrol,1197 CC,81.83 bhp,5.0,14000,Individual,Medium
177,Maruti,800,1999,Second Owner,Manual,Petrol,796 CC,37 bhp,4.0,40000,Individual,Low
178,Maruti,Ritz,2010,First Owner,Manual,Diesel,1248 CC,73.9 bhp,5.0,120000,Individual,Low
179,Hyundai,Grand,2015,First Owner,Manual,Petrol,1197 CC,82 bhp,5.0,70000,Individual,Medium
180,Volkswagen,Ameo,2019,First Owner,Manual,Petrol,999 CC,75 bhp,5.0,13000,Individual,Medium
181,Hyundai,Grand,2014,Second Owner,Manual,Petrol,1197 CC,82 bhp,5.0,60000,Individual,Medium
182,Maruti,Swift,2014,First Owner,Manual,Petrol,1197 CC,85.8 bhp,5.0,35000,Individual,Medium
183,Hyundai,Xcent,2016,Second Owner,Manual,Petrol,1197 CC,82 bhp,5.0,44000,Individual,Medium
184,Honda,City,2005,Second Owner,Manual,Petrol,1493 CC,100 bhp,5.0,120000,Individual,Low
185,Toyota,Corolla,2010,First Owner,Manual,Diesel,1364 CC,87.2 bhp,5.0,60000,Individual,Medium
186,Daewoo,Matiz,2000,First Owner,Manual,Petrol,796 CC,53 bhp,5.0,60000,Individual,Low
187,Toyota,Fortuner,2014,Second Owner,Manual,Diesel,2982 CC,168.5 bhp,7.0,30000,Individual,High
188,Mahindra,KUV,2016,Second Owner,Manual,Petrol,1198 CC,82 bhp,6.0,15000,Individual,Medium
189,Tata,Zest,2017,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,90000,Individual,Medium
190,Honda,City,2009,Second Owner,Manual,Petrol,1497 CC,118 bhp,5.0,47000,Individual,Medium
191,Maruti,Zen,2005,First Owner,Manual,Petrol,993 CC,60 bhp,5.0,90000,Individual,Low
192,Maruti,Wagon,2010,Second Owner,Manual,Petrol,998 CC,67.1 bhp,5.0,120600,Individual,Low
193,Hyundai,Verna,2010,Third Owner,Manual,Petrol,1599 CC,103.2 bhp,5.0,100000,Individual,Medium
194,Maruti,Swift,2016,Second Owner,Manual,Petrol,1197 CC,83.14 bhp,5.0,60000,Individual,Medium
195,Hyundai,Getz,2005,First Owner,Manual,Petrol,1341 CC,83 bhp,5.0,86000,Individual,Low
196,Hyundai,Elite,2020,First Owner,Manual,Petrol,1197 CC,81.86 bhp,5.0,5000,Individual,Medium
197,Maruti,Ciaz,2017,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,37000,Individual,Medium
198,Tata,Tigor,2019,First Owner,Manual,Petrol,1199 CC,84 bhp,5.0,14000,Individual,Medium
199,Maruti,Ertiga,2015,First Owner,Manual,Diesel,1248 CC,88.76 bhp,7.0,70000,Individual,Medium
200,Toyota,Etios,2012,First Owner,Manual,Diesel,,,,120000,Individual,Low
201,Honda,City,2015,First Owner,Manual,Petrol,1497 CC,117.3 bhp,5.0,50000,Individual,Medium
202,Honda,Brio,2014,Second Owner,Manual,Petrol,1198 CC,86.8 bhp,5.0,60000,Individual,Medium
203,Maruti,Wagon,2016,First Owner,Manual,CNG,998 CC,58.16 bhp,5.0,50000,Individual,Medium
204,Maruti,Swift,2017,First Owner,Manual,Petrol,1197 CC,83.14 bhp,5.0,50000,Individual,Medium
205,Hyundai,i20,2013,First Owner,Manual,Petrol,1197 CC,82.85 bhp,5.0,70000,Individual,Medium
206,Maruti,Omni,2003,Second Owner,Manual,Petrol,,,,90000,Individual,Low
207,Maruti,Wagon,2018,First Owner,Automatic,Petrol,998 CC,67 bhp,5.0,35000,Individual,Medium
208,Maruti,Swift,2017,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,20000,Individual,Medium
209,Maruti,Alto,2018,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,20000,Individual,Low
210,Maruti,Swift,2018,First Owner,Automatic,Petrol,1197 CC,81.80 bhp,5.0,7800,Individual,Medium
211,Maruti,Swift,2017,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,20000,Individual,Medium
212,Tata,Hexa,2019,First Owner,Manual,Diesel,2179 CC,147.94 bhp,7.0,15000,Individual,High
213,Hyundai,i20,2013,Second Owner,Manual,Petrol,1197 CC,82.85 bhp,5.0,31377,Individual,Medium
214,Maruti,Swift,2018,First Owner,Manual,Diesel,1248 CC,74.02 bhp,5.0,50000,Individual,Medium
215,Maruti,Wagon,2015,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,60000,Individual,Medium
216,Toyota,Corolla,2012,First Owner,Automatic,Petrol,1794 CC,138.1 bhp,5.0,100000,Individual,Medium
217,Honda,Brio,2012,First Owner,Manual,Petrol,1198 CC,86.8 bhp,5.0,60000,Individual,Low
218,Maruti,Baleno,2018,First Owner,Automatic,Petrol,1197 CC,83.1 bhp,5.0,5000,Individual,Medium
219,Tata,Safari,2017,First Owner,Manual,Diesel,2179 CC,147.94 bhp,7.0,60000,Individual,Medium
220,Maruti,Alto,2011,Second Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,25000,Individual,Low
221,Renault,KWID,2018,First Owner,Manual,Petrol,799 CC,53.3 bhp,5.0,30000,Individual,Medium
222,Datsun,GO,2017,Second Owner,Manual,Petrol,1198 CC,67 bhp,5.0,80000,Individual,Medium
223,Maruti,Vitara,2017,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,75000,Individual,Medium
224,Hyundai,Xcent,2020,First Owner,Manual,Petrol,1197 CC,81.86 bhp,5.0,32000,Individual,Medium
225,Maruti,Alto,2015,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,40000,Individual,Low
226,Hyundai,i20,2012,Second Owner,Manual,Petrol,1197 CC,80 bhp,5.0,93000,Individual,Medium
227,Tata,Zest,2018,First Owner,Manual,Petrol,1193 CC,88.7 bhp,5.0,60000,Individual,Medium
228,Maruti,Swift,2008,Second Owner,Manual,Petrol,,,,120000,Individual,Low
229,Nissan,Sunny,2014,First Owner,Manual,Petrol,1498 CC,97.7 bhp,5.0,37000,Individual,Medium
230,Ford,EcoSport,2018,First Owner,Manual,Petrol,1497 CC,121.36 bhp,5.0,15000,Individual,Medium
231,Nissan,Micra,2015,First Owner,Manual,Petrol,1198 CC,67.04 bhp,5.0,80000,Individual,Medium
232,Maruti,Wagon,2016,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,140000,Individual,Medium
233,Mahindra,Ssangyong,2013,First Owner,Manual,Diesel,2696 CC,162 bhp,7.0,70000,Individual,Medium
234,Mahindra,Quanto,2013,Second Owner,Manual,Diesel,1493 CC,100 bhp,7.0,120000,Individual,Medium
235,Maruti,Ritz,2010,Second Owner,Manual,Diesel,1248 CC,73.9 bhp,5.0,110000,Individual,Low
236,Hyundai,Creta,2017,First Owner,Manual,Diesel,1582 CC,126.2 bhp,5.0,37000,Individual,High
237,Renault,KWID,2016,First Owner,Manual,Petrol,799 CC,53.3 bhp,5.0,44000,Individual,Low
238,Maruti,Ertiga,2015,First Owner,Manual,Diesel,1248 CC,88.76 bhp,7.0,80000,Individual,Medium
239,Mahindra,XUV500,2015,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,125000,Individual,Medium
240,Maruti,Eeco,2017,First Owner,Manual,Petrol,1196 CC,73 bhp,5.0,13500,Individual,Medium
241,Hyundai,Santro,2011,First Owner,Manual,Petrol,1086 CC,62.1 bhp,5.0,75000,Individual,Low
242,Hyundai,Accent,2007,Second Owner,Manual,Petrol,1495 CC,94 bhp,5.0,120000,Individual,Low
243,Mahindra,XUV500,2012,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,120000,Individual,Medium
244,Toyota,Innova,2013,First Owner,Manual,Diesel,2494 CC,100.57 bhp,7.0,70000,Individual,Medium
245,Maruti,Swift,2013,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,70000,Individual,Medium
